FRMI
                    	Temperature (*C)	Temperature (*C)	Soil Moist-VWC (%VWC)	Solar Rad (wat/m2)	RH (%)	Temperature (*C)	Rainfall (mm)	Wind Dir (Deg)	Wind Gust (km/h)	Wind Speed (km/h)	Dew Point (*C)
                    	*C	*C	%VWC	wat/m2	%	*C	mm	Deg	km/h	km/h	*C
Date and Time   	TMPA	TMPB	VWCC	SRD	HMD	TMP	RNF	WND	WNG	WNS	DEW
2019-04-11 15:15	52.5	53.3	133.0	322.0	49.7	56.1	1.9	19	10	8	42.2
2019-04-11 15:30	52.8	52.9	133.0	299.0	50.3	56.4	0.0	79	14	6	42.7
2019-04-11 15:45	53.5	52.4	133.1	245.0	50.4	56.9	0.0	56	11	5	43.2
2019-04-11 16:00	53.8	52.3	133.2	223.0	50.8	56.9	0.0	100	11	6	43.3
2019-04-11 16:15	54.0	52.2	133.2	212.0	51.0	57.2	0.0	107	13	5	43.7
2019-04-11 16:30	54.1	52.2	133.2	212.0	51.6	57.3	0.0	186	11	5	44.0
2019-04-11 16:45	54.1	52.2	133.2	211.0	52.1	57.2	0.0	159	13	6	44.1
2019-04-11 17:00	54.1	52.2	133.2	171.0	52.3	57.2	0.0	134	10	6	44.1
2019-04-11 17:15	53.9	52.2	133.2	134.0	52.7	57.5	0.0	101	8	4	44.6
2019-04-11 17:30	53.7	52.1	133.2	95.0	53.4	57.3	0.0	87	8	4	44.6
2019-04-11 17:45	53.3	52.1	133.2	66.0	54.2	57.1	0.0	160	8	3	44.7
2019-04-11 18:00	52.9	52.0	133.2	54.0	56.9	55.8	0.0	237	10	6	44.5
2019-04-11 18:15	52.5	51.8	133.2	35.0	57.0	55.5	0.0	128	12	5	44.2
2019-04-11 18:30	52.1	51.7	133.2	12.0	58.2	54.7	0.0	59	9	4	43.9
2019-04-11 18:45	51.7	51.5	133.2	4.0	59.0	54.4	0.0	76	11	5	43.9
2019-04-11 19:00	51.3	51.3	133.2	1.0	59.8	54.2	0.0	67	9	4	44.0
2019-04-11 19:15	51.0	51.1	133.2	0.0	60.7	54.0	0.0	79	7	2	44.1
2019-04-11 19:30	50.8	50.9	133.2	0.0	61.0	54.0	0.0	129	6	3	44.2
2019-04-11 19:45	50.5	50.7	133.2	0.0	68.2	52.3	0.0	309	8	4	44.7
2019-04-11 20:00	50.3	50.5	133.2	0.0	77.0	50.3	0.1	319	10	5	45.1
2019-04-11 20:15	50.0	50.4	133.1	0.0	83.0	48.2	0.1	283	16	9	44.6
2019-04-11 20:30	49.6	50.2	133.1	0.0	86.1	47.7	0.0	324	15	10	44.8
2019-04-11 20:45	49.3	50.0	133.0	0.0	88.0	47.7	0.4	348	15	5	45.2
2019-04-11 21:00	49.2	49.8	133.0	0.0	91.0	47.6	1.1	333	8	3	45.8
2019-04-11 21:15	49.2	49.6	132.9	0.0	93.2	47.9	1.4	183	8	4	46.5
2019-04-11 21:30	49.2	49.5	133.0	0.0	94.9	47.8	0.2	45	10	4	46.8
2019-04-11 21:45	49.1	49.4	132.9	0.0	94.8	48.0	0.1	40	7	1	46.9
2019-04-11 22:00	49.2	49.4	133.0	0.0	95.7	48.2	0.1	49	5	1	47.3
2019-04-11 22:15	49.1	49.3	133.0	0.0	96.2	48.2	0.0	43	6	3	47.4
2019-04-11 22:30	49.1	49.2	133.0	0.0	96.5	48.2	0.1	76	2	0	47.5
2019-04-11 22:45	49.1	49.2	132.9	0.0	96.9	48.1	0.1	288	3	0	47.5
2019-04-11 23:00	49.0	49.1	133.0	0.0	97.1	48.1	0.0	227	2	0	47.5
2019-04-11 23:15	48.9	49.1	133.0	0.0	97.3	48.0	0.0	56	1	0	47.5
2019-04-11 23:30	48.8	49.0	133.0	0.0	97.8	47.8	0.0	18	0	0	47.4
2019-04-11 23:45	48.8	48.9	133.0	0.0	98.1	47.5	0.1	300	1	0	47.1
2019-04-12 00:00	48.8	48.9	132.9	0.0	97.9	47.8	0.0	344	2	0	47.4
2019-04-12 00:15	48.7	48.8	133.0	0.0	97.8	47.9	0.0	358	0	0	47.5
2019-04-12 00:30	48.6	48.8	133.0	0.0	98.1	47.6	0.0	358	0	0	47.2
2019-04-12 00:45	48.6	48.7	133.0	0.0	98.6	47.4	0.0	247	0	0	47.1
2019-04-12 01:00	48.6	48.7	133.0	0.0	97.5	48.9	0.2	105	2	0	48.4
2019-04-12 01:15	48.6	48.6	133.0	0.0	94.6	50.3	0.1	149	3	1	49.2
2019-04-12 01:30	48.6	48.6	133.0	0.0	93.3	50.7	0.0	158	5	2	49.3
2019-04-12 01:45	48.7	48.6	133.0	0.0	92.1	50.9	0.0	158	7	4	49.2
2019-04-12 02:00	48.7	48.6	132.9	0.0	93.1	50.4	0.0	155	6	3	49.0
